Date : 2022-11-26 09:32:14
Directory : /Users/velen/Desktop/work/sc/sc-ui
Total : 179 files,  19394 codes, 738 comments, 2975 blanks, all 23107 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/steps/index.md                              | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/en/tabs/index.md                               | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/index.md                                       | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/modal/index.md                                 | Markdown           |         92 |          0 |         22 |        114 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/password/index.md                              | Markdown           |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/public/logo.svg                                | XML                |         19 |          0 |          0 |         19 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/radio/index.md                                 | Markdown           |         28 |          0 |         10 |         38 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/steps/index.md                                 | Markdown           |         48 |          0 |         21 |         69 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/table/index.md                                 | Markdown           |         14 |          0 |          7 |         21 |
| /Users/velen/Desktop/work/sc/sc-ui/.docs/tabs/index.md                                  | Markdown           |         21 |          0 |          8 |         29 |
| /Users/velen/Desktop/work/sc/sc-ui/.eslintrc.cjs                                        | JavaScript         |         33 |          1 |          2 |         36 |
| /Users/velen/Desktop/work/sc/sc-ui/.prettierrc.js                                       | JavaScript         |          7 |          0 |          1 |          8 |
| /Users/velen/Desktop/work/sc/sc-ui/README.md                                            | Markdown           |          2 |          0 |          1 |          3 |
| /Users/velen/Desktop/work/sc/sc-ui/build/constant.ts                                    | TypeScript         |          5 |          5 |          0 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/build/plugin/index.ts                                | TypeScript         |         48 |          6 |          7 |         61 |
| /Users/velen/Desktop/work/sc/sc-ui/build/plugin/legacy.ts                               | TypeScript         |          6 |          1 |          1 |          8 |
| /Users/velen/Desktop/work/sc/sc-ui/build/plugin/visualizer.ts                           | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/build/plugin/windicss.ts                             | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/velen/Desktop/work/sc/sc-ui/build/theme/index.ts                                 | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/velen/Desktop/work/sc/sc-ui/build/theme/variables.less                           | Less               |         14 |          0 |          0 |         14 |
| /Users/velen/Desktop/work/sc/sc-ui/docs/.vitepress/config.js                            | JavaScript         |         57 |          0 |          2 |         59 |
| /Users/velen/Desktop/work/sc/sc-ui/docs/.vitepress/sidebar.js                           | JavaScript         |        108 |          9 |          0 |        117 |
| /Users/velen/Desktop/work/sc/sc-ui/docs/.vitepress/theme/index.ts                       | TypeScript         |         15 |          4 |          7 |         26 |
| /Users/velen/Desktop/work/sc/sc-ui/docs/.vitepress/theme/theme.css                      | CSS                |      1,480 |          0 |        291 |      1,771 |
| /Users/velen/Desktop/work/sc/sc-ui/docs/.vitepress/theme/var.css                        | CSS                |        127 |         32 |         27 |        186 |
| /Users/velen/Desktop/work/sc/sc-ui/docs/public/logo.svg                                 | XML                |         19 |          0 |          0 |         19 |
| /Users/velen/Desktop/work/sc/sc-ui/package copy.json                                    | JSON               |        104 |          0 |          1 |        105 |
| /Users/velen/Desktop/work/sc/sc-ui/package copy1.json                                   | JSON               |         35 |          0 |          1 |         36 |
| /Users/velen/Desktop/work/sc/sc-ui/package.json                                         | JSON               |        125 |          0 |          1 |        126 |
| /Users/velen/Desktop/work/sc/sc-ui/pnpm-lock.yaml                                       | YAML               |      7,458 |          0 |      1,139 |      8,597 |
| /Users/velen/Desktop/work/sc/sc-ui/src/__docs__/index.en-US.md                          | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/__docs__/index.zh-CN.md                          | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/constans/index.ts                                | TypeScript         |         13 |          0 |          0 |         13 |
| /Users/velen/Desktop/work/sc/sc-ui/src/direactives/clickOutside.ts                      | TypeScript         |        103 |          4 |         13 |        120 |
| /Users/velen/Desktop/work/sc/sc-ui/src/direactives/index.ts                             | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/src/direactives/textCollapse.ts                      | TypeScript         |         41 |          0 |          5 |         46 |
| /Users/velen/Desktop/work/sc/sc-ui/src/enums/status.ts                                  | TypeScript         |          6 |          0 |          0 |          6 |
| /Users/velen/Desktop/work/sc/sc-ui/src/env.d.ts                                         | TypeScript         |          5 |          2 |          2 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/hooks/index.ts                                   | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/velen/Desktop/work/sc/sc-ui/src/hooks/useAttrs.ts                                | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/velen/Desktop/work/sc/sc-ui/src/hooks/useDraggable.ts                            | TypeScript         |         74 |          0 |         14 |         88 |
| /Users/velen/Desktop/work/sc/sc-ui/src/hooks/useTimeoutFn.ts                            | TypeScript         |         38 |          0 |          8 |         46 |
| /Users/velen/Desktop/work/sc/sc-ui/src/index.ts                                         | TypeScript         |         49 |          1 |         12 |         62 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/component/ScAlert.vue              | Vue                |         40 |          0 |          4 |         44 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/component/type.ts                  | TypeScript         |         20 |          9 |          3 |         32 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/basic.vue                     | Vue                |         14 |          0 |          3 |         17 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/close.vue                     | Vue                |         14 |          0 |          3 |         17 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/desc.vue                      | Vue                |         29 |          0 |          2 |         31 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/icon.vue                      | Vue                |         14 |          0 |          3 |         17 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/selfClose.vue                 | Vue                |         12 |          0 |          3 |         15 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/selfDesc.vue                  | Vue                |         42 |          0 |          3 |         45 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/selfMessage.vue               | Vue                |         46 |          0 |          4 |         50 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/index.en-US.md                     | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/index.ts                           | TypeScript         |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/alert/index.zh-CN.md                     | Markdown           |         74 |          1 |         23 |         98 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/contextMenu/index.en-US.md               | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/contextMenu/index.ts                     | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/contextMenu/index.zh-CN.md               | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/component/ScDrawer.vue            | Vue                |         39 |          0 |          4 |         43 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/component/type.ts                 | TypeScript         |         20 |          9 |          3 |         32 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/demo/basic.vue                    | Vue                |         14 |          0 |          3 |         17 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/index.en-US.md                    | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/index.ts                          | TypeScript         |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/index.zh-CN.md                    | Markdown           |         14 |          0 |          6 |         20 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/components/ScModal.vue             | Vue                |        190 |          0 |         17 |        207 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/components/type.ts                 | TypeScript         |         76 |          2 |          1 |         79 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/demo/basic.vue                     | Vue                |         32 |          0 |          7 |         39 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/demo/draggable.vue                 | Vue                |         38 |          0 |          9 |         47 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/demo/notClose.vue                  | Vue                |         33 |          0 |          7 |         40 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/demo/selfFooter.vue                | Vue                |         49 |          0 |          7 |         56 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/demo/selftHeader.vue               | Vue                |         34 |          0 |          7 |         41 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/demo/tooltip.vue                   | Vue                |         34 |          0 |          7 |         41 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/demo/type.vue                      | Vue                |         49 |          0 |          7 |         56 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/index.en-US.md                     | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/index.ts                           | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/modal/index.zh-CN.md                     | Markdown           |         91 |          0 |         21 |        112 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/password/index.en-US.md                  | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/password/index.ts                        | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/password/index.zh-CN.md                  | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/components/ScRadioGroup.vue        | Vue                |         32 |          0 |          4 |         36 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/components/ScRadioTooltipGroup.vue | Vue                |         83 |          0 |         11 |         94 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/components/types.ts                | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/demo/basic.vue                     | Vue                |         19 |          0 |          3 |         22 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/demo/styleMode.vue                 | Vue                |         22 |          0 |          4 |         26 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/demo/tooltip.vue                   | Vue                |         40 |          0 |          5 |         45 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/index.en-US.md                     | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/index.ts                           | TypeScript         |          8 |          0 |          4 |         12 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/radio/index.zh-CN.md                     | Markdown           |         27 |          0 |         10 |         37 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/component/ScStep.vue               | Vue                |        222 |          6 |         24 |        252 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/component/ScSteps.vue              | Vue                |         75 |          0 |          9 |         84 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/component/type.ts                  | TypeScript         |         22 |         36 |          5 |         63 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/demo/basic.vue                     | Vue                |         21 |          0 |          2 |         23 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/demo/center.vue                    | Vue                |         12 |          0 |          1 |         13 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/demo/icon.vue                      | Vue                |         22 |          0 |          1 |         23 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/demo/simple.vue                    | Vue                |         12 |          0 |          1 |         13 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/demo/status.vue                    | Vue                |         12 |          0 |          1 |         13 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/demo/vertical.vue                  | Vue                |         12 |          0 |          1 |         13 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/index.en-US.md                     | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/index.ts                           | TypeScript         |         10 |          0 |          7 |         17 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/steps/index.zh-CN.md                     | Markdown           |         47 |          0 |         20 |         67 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/component/CheckoutBtn.vue          | Vue                |         59 |          0 |          8 |         67 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/component/ColumnDialog.vue         | Vue                |         57 |          0 |          5 |         62 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/component/FilterDropDown.vue       | Vue                |         83 |          0 |          3 |         86 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/component/ScTable.vue              | Vue                |        386 |          0 |         45 |        431 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/component/TableAction.vue          | Vue                |        147 |          0 |         17 |        164 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/component/TableFilter.vue          | Vue                |        215 |          0 |         21 |        236 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/demo/basic.vue                     | Vue                |        290 |          1 |         24 |        315 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/uesColumn.ts                 | TypeScript         |          4 |          0 |          3 |          7 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/uesDialog.ts                 | TypeScript         |         60 |          1 |          9 |         70 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/useActions.ts                | TypeScript         |         50 |          2 |          5 |         57 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/useFIlter.ts                 | TypeScript         |         77 |         16 |          9 |        102 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/useLoading.ts                | TypeScript         |         16 |          0 |          6 |         22 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/usePagination.ts             | TypeScript         |         56 |          4 |         12 |         72 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/useRowSelection.ts           | TypeScript         |        107 |          2 |         16 |        125 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/useTable.ts                  | TypeScript         |        291 |         37 |         39 |        367 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/hooks/useTableExpand.ts            | TypeScript         |         69 |          1 |         11 |         81 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/index.en-US.md                     | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/index.ts                           | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/index.zh-CN.md                     | Markdown           |         13 |          0 |          7 |         20 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/types/column.ts                    | TypeScript         |         57 |          0 |          9 |         66 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/types/pagination.ts                | TypeScript         |         33 |         65 |         18 |        116 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/table/types/table.ts                     | TypeScript         |        263 |         83 |         40 |        386 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/tabs/components/ScTabs.vue               | Vue                |         37 |          0 |          4 |         41 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/tabs/components/ScTabs1.vue              | Vue                |         60 |          9 |          7 |         76 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/tabs/demo/basic.vue                      | Vue                |         15 |          0 |          2 |         17 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/tabs/demo/styleMode.vue                  | Vue                |         15 |          0 |          2 |         17 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/tabs/index.en-US.md                      | Markdown           |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/tabs/index.ts                            | TypeScript         |          3 |          0 |          2 |          5 |
| /Users/velen/Desktop/work/sc/sc-ui/src/package/tabs/index.zh-CN.md                      | Markdown           |         20 |          0 |          7 |         27 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/color/bezierEasing.less                    | Less               |         85 |         10 |         16 |        111 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/color/colorPalette.less                    | Less               |         70 |          8 |          4 |         82 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/color/colors.less                          | Less               |        146 |          2 |         15 |        163 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/color/tinyColor.less                       | Less               |        905 |        148 |        132 |      1,185 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/alert.less                       | Less               |         55 |          0 |          0 |         55 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/button.less                      | Less               |         29 |          0 |          2 |         31 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/index.less                       | Less               |         11 |          0 |          0 |         11 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/menu.less                        | Less               |         82 |          0 |          0 |         82 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/modal.less                       | Less               |        134 |          8 |          0 |        142 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/pagination.less                  | Less               |         14 |          0 |          0 |         14 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/radio.less                       | Less               |         39 |          1 |          1 |         41 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/select.less                      | Less               |         32 |          4 |          0 |         36 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/step.less                        | Less               |        275 |         16 |         21 |        312 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/steps.less                       | Less               |         15 |          0 |          0 |         15 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/table.less                       | Less               |        223 |          3 |          7 |        233 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/component/tabs.less                        | Less               |         49 |          0 |          0 |         49 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/index.less                                 | Less               |          5 |          1 |          1 |          7 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/other/index.less                           | Less               |         90 |          0 |          2 |         92 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/var/common.less                            | Less               |         36 |          0 |          3 |         39 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/var/index.less                             | Less               |         67 |         13 |         34 |        114 |
| /Users/velen/Desktop/work/sc/sc-ui/src/style/var/mixins.less                            | Less               |          3 |          0 |          0 |          3 |
| /Users/velen/Desktop/work/sc/sc-ui/src/types.ts                                         | TypeScript         |          4 |          0 |          0 |          4 |
| /Users/velen/Desktop/work/sc/sc-ui/src/types/draggable.ts                               | TypeScript         |         30 |         51 |          2 |         83 |
| /Users/velen/Desktop/work/sc/sc-ui/src/types/global.d.ts                                | TypeScript         |          7 |          2 |          0 |          9 |
| /Users/velen/Desktop/work/sc/sc-ui/src/utils/index.ts                                   | TypeScript         |         26 |          0 |          8 |         34 |
